Customer ID,Customer Name,Date of Birth,Marital Status,Date of First Purchase,Gender,Yearly Income,
TB-21175,Thomas Boland,13-06-1970,M,1526688000,M,30000,"Insert into Customer values('TB-21175','Thomas Boland',25732,'M',1526688000,'M',30000)"
PJ-18835,Patrick Jones,13-05-1991,S,1467763200,F,20000,"Insert into Customer values('PJ-18835','Patrick Jones',33371,'S',1467763200,'F',20000)"
JS-15685,Jim Sink,09-03-1973,S,1536105600,M,30000,"Insert into Customer values('JS-15685','Jim Sink',26732,'S',1536105600,'M',30000)"
RH-9555,Ritsa Hightower,02-12-1983,S,1431993600,M,40000,"Insert into Customer values('RH-9555','Ritsa Hightower',30652,'S',1431993600,'M',40000)"
AB-600,Ann Blume,12-07-1962,S,1459814400,M,40000,"Insert into Customer values('AB-600','Ann Blume',22839,'S',1459814400,'M',40000)"
SA-20830,Sue Ann Reed,15-07-1992,S,1422835200,F,40000,"Insert into Customer values('SA-20830','Sue Ann Reed',33800,'S',1422835200,'F',40000)"
JK-15325,Jason Klamczynski,17-09-1980,M,1511049600,M,40000,"Insert into Customer values('JK-15325','Jason Klamczynski',29481,'M',1511049600,'M',40000)"
LB-16795,Laurel Beltran,04-07-1985,M,1541808000,M,40000,"Insert into Customer values('LB-16795','Laurel Beltran',31232,'M',1541808000,'M',40000)"
NP-18325,Naresj Patel,08-11-1952,M,1423440000,M,60000,"Insert into Customer values('NP-18325','Naresj Patel',19306,'M',1423440000,'M',60000)"
VD-21670,Valerie Dominguez,20-06-1991,M,1497744000,M,10000,"Insert into Customer values('VD-21670','Valerie Dominguez',33409,'M',1497744000,'M',10000)"
PB-19210,Phillip Breyer,05-12-1951,S,1498089600,M,30000,"Insert into Customer values('PB-19210','Phillip Breyer',18967,'S',1498089600,'M',30000)"
EB-14110,Eugene Barchas,03-12-1991,M,1505088000,M,30000,"Insert into Customer values('EB-14110','Eugene Barchas',33575,'M',1505088000,'M',30000)"
KF-16285,Karen Ferguson,05-05-1968,M,1510099200,F,30000,"Insert into Customer values('KF-16285','Karen Ferguson',24963,'M',1510099200,'F',30000)"
BP-11230,Benjamin Patterson,14-06-1981,M,1543795200,M,30000,"Insert into Customer values('BP-11230','Benjamin Patterson',29751,'M',1543795200,'M',30000)"
RR-19525,Rick Reed,15-12-1994,M,1526947200,F,10000,"Insert into Customer values('RR-19525','Rick Reed',34683,'M',1526947200,'F',10000)"
BS-11365,Bill Shonely,24-03-1993,M,1435449600,F,20000,"Insert into Customer values('BS-11365','Bill Shonely',34052,'M',1435449600,'F',20000)"
JE-15745,Joel Eaton,20-09-1952,M,1559779200,F,20000,"Insert into Customer values('JE-15745','Joel Eaton',19257,'M',1559779200,'F',20000)"
DP-13105,Dave Poirier,19-02-1996,M,1552435200,M,20000,"Insert into Customer values('DP-13105','Dave Poirier',35114,'M',1552435200,'M',20000)"
NP-18700,Nora Preis,18-02-1968,M,1537488000,F,20000,"Insert into Customer values('NP-18700','Nora Preis',24886,'M',1537488000,'F',20000)"
AH-30,Aaron Hawkins,19-11-1977,M,1528588800,F,10000,"Insert into Customer values('AH-30','Aaron Hawkins',28448,'M',1528588800,'F',10000)"
DM-13015,Darrin Martin,31-05-2005,M,1506384000,F,60000,"Insert into Customer values('DM-13015','Darrin Martin',38503,'M',1506384000,'F',60000)"
GT-14635,Grant Thornton,06-02-1972,S,1487635200,F,40000,"Insert into Customer values('GT-14635','Grant Thornton',26335,'S',1487635200,'F',40000)"
PO-18865,Patrick O Donnell,16-12-1977,M,1538870400,F,10000,"Insert into Customer values('PO-18865','Patrick O Donnell',28475,'M',1538870400,'F',10000)"
DL-12865,Dan Lawera,08-09-1981,M,1530921600,M,30000,"Insert into Customer values('DL-12865','Dan Lawera',29837,'M',1530921600,'M',30000)"
JB-16000,Joy Bell-,25-10-1954,M,1464652800,M,30000,"Insert into Customer values('JB-16000','Joy Bell-',20022,'M',1464652800,'M',30000)"
BF-11005,Barry Franz,14-12-1978,M,1566259200,F,60000,"Insert into Customer values('BF-11005','Barry Franz',28838,'M',1566259200,'F',60000)"
VG-21805,Vivek Grady,31-08-1964,M,1485820800,F,70000,"Insert into Customer values('VG-21805','Vivek Grady',23620,'M',1485820800,'F',70000)"
GT-14710,Greg Tran,24-08-1981,M,1481760000,M,60000,"Insert into Customer values('GT-14710','Greg Tran',29822,'M',1481760000,'M',60000)"
ZC-21910,Zuschuss Carroll,30-12-1983,M,1437091200,M,20000,"Insert into Customer values('ZC-21910','Zuschuss Carroll',30680,'M',1437091200,'M',20000)"
SC-20095,Sanjit Chand,02-02-1951,S,1474588800,M,30000,"Insert into Customer values('SC-20095','Sanjit Chand',18661,'S',1474588800,'M',30000)"
EB-13840,Ellis Ballard,14-06-1990,M,1525651200,F,30000,"Insert into Customer values('EB-13840','Ellis Ballard',33038,'M',1525651200,'F',30000)"
AP-10915,Arthur Prichep,22-08-1959,M,1513036800,F,30000,"Insert into Customer values('AP-10915','Arthur Prichep',21784,'M',1513036800,'F',30000)"
SW-20275,Scott Williamson,23-03-1994,M,1480118400,M,30000,"Insert into Customer values('SW-20275','Scott Williamson',34416,'M',1480118400,'M',30000)"
JH-15820,John Huston,21-03-1951,S,1492300800,F,40000,"Insert into Customer values('JH-15820','John Huston',18708,'S',1492300800,'F',40000)"
LC-16885,Lena Creighton,27-09-1990,M,1463616000,M,30000,"Insert into Customer values('LC-16885','Lena Creighton',33143,'M',1463616000,'M',30000)"
TG-11640,Trudy Glocke,10-01-1999,S,1534291200,M,30000,"Insert into Customer values('TG-11640','Trudy Glocke',36170,'S',1534291200,'M',30000)"
HR-14830,Harold Ryan,31-03-1976,S,1530921600,F,40000,"Insert into Customer values('HR-14830','Harold Ryan',27850,'S',1530921600,'F',40000)"
DG-3300,Deirdre Greer,31-07-1950,M,1540684800,F,60000,"Insert into Customer values('DG-3300','Deirdre Greer',18475,'M',1540684800,'F',60000)"
SG-20470,Sheri Gordon,08-02-1983,M,1493769600,F,40000,"Insert into Customer values('SG-20470','Sheri Gordon',30355,'M',1493769600,'F',40000)"
FH-14365,Fred Hopkins,25-06-1991,M,1539302400,M,40000,"Insert into Customer values('FH-14365','Fred Hopkins',33414,'M',1539302400,'M',40000)"
GP-14740,Guy Phonely,26-11-1993,M,1527120000,F,40000,"Insert into Customer values('GP-14740','Guy Phonely',34299,'M',1527120000,'F',40000)"
MW-18220,Mitch Webber,15-06-1959,M,1427241600,M,70000,"Insert into Customer values('MW-18220','Mitch Webber',21716,'M',1427241600,'M',70000)"
PO-18850,Patrick O Brill,28-03-1996,M,1454803200,M,80000,"Insert into Customer values('PO-18850','Patrick O Brill',35152,'M',1454803200,'M',80000)"
CS-12460,Chuck Sachs,27-03-1954,S,1439424000,F,80000,"Insert into Customer values('CS-12460','Chuck Sachs',19810,'S',1439424000,'F',80000)"
KD-16495,Keith Dawkins,28-06-1983,M,1548720000,M,80000,"Insert into Customer values('KD-16495','Keith Dawkins',30495,'M',1548720000,'M',80000)"
MS-17980,Michael Stewart,18-04-2001,M,1430352000,M,80000,"Insert into Customer values('MS-17980','Michael Stewart',36999,'M',1430352000,'M',80000)"
KC-16675,Kimberly Carter,25-12-2002,M,1525910400,M,40000,"Insert into Customer values('KC-16675','Kimberly Carter',37615,'M',1525910400,'M',40000)"
DB-13405,Denny Blanton,26-10-1992,S,1464480000,F,40000,"Insert into Customer values('DB-13405','Denny Blanton',33903,'S',1464480000,'F',40000)"
JD-15895,Jonathan Doherty,31-05-1957,M,1550448000,M,40000,"Insert into Customer values('JD-15895','Jonathan Doherty',20971,'M',1550448000,'M',40000)"
DK-13090,Dave Kipp,21-09-1956,M,1461715200,F,60000,"Insert into Customer values('DK-13090','Dave Kipp',20719,'M',1461715200,'F',60000)"
CS-11845,Cari Sayre,06-06-1995,M,1507161600,F,70000,"Insert into Customer values('CS-11845','Cari Sayre',34856,'M',1507161600,'F',70000)"
EM-14200,Evan Minnotte,03-07-1994,S,1500076800,M,60000,"Insert into Customer values('EM-14200','Evan Minnotte',34518,'S',1500076800,'M',60000)"
DW-3480,Dianna Wilson,25-06-1957,S,1551312000,F,80000,"Insert into Customer values('DW-3480','Dianna Wilson',20996,'S',1551312000,'F',80000)"
AS-10225,Alan Schoenberger,15-06-1952,S,1424131200,F,80000,"Insert into Customer values('AS-10225','Alan Schoenberger',19160,'S',1424131200,'F',80000)"
ST-20530,Shui Tom,04-01-1951,M,1426204800,M,80000,"Insert into Customer values('ST-20530','Shui Tom',18632,'M',1426204800,'M',80000)"
BW-1065,Barry Weirich,04-08-2002,S,1517184000,F,80000,"Insert into Customer values('BW-1065','Barry Weirich',37472,'S',1517184000,'F',80000)"
LA-16780,Laura Armstrong,26-10-1965,S,1488240000,F,80000,"Insert into Customer values('LA-16780','Laura Armstrong',24041,'S',1488240000,'F',80000)"
AB-10150,Aimee Bixby,23-04-1969,S,1513814400,F,70000,"Insert into Customer values('AB-10150','Aimee Bixby',25316,'S',1513814400,'F',70000)"
CM-12385,Christopher Martinez,14-03-1976,S,1448150400,M,70000,"Insert into Customer values('CM-12385','Christopher Martinez',27833,'S',1448150400,'M',70000)"
BE-11410,Bobby Elias,16-04-1978,S,1491782400,F,80000,"Insert into Customer values('BE-11410','Bobby Elias',28596,'S',1491782400,'F',80000)"
SZ-20035,Sam Zeldin,29-04-1999,S,1520380800,M,80000,"Insert into Customer values('SZ-20035','Sam Zeldin',36279,'S',1520380800,'M',80000)"
RM-19375,Raymond Messe,20-06-1956,S,1503619200,F,80000,"Insert into Customer values('RM-19375','Raymond Messe',20626,'S',1503619200,'F',80000)"
HG-14845,Harry Greene,02-10-1950,S,1428019200,F,40000,"Insert into Customer values('HG-14845','Harry Greene',18538,'S',1428019200,'F',40000)"
DP-3105,Dave Poirier,14-09-1956,S,1539734400,M,160000,"Insert into Customer values('DP-3105','Dave Poirier',20712,'S',1539734400,'M',160000)"
AR-10540,Andy Reiter,16-08-1987,M,1445731200,M,170000,"Insert into Customer values('AR-10540','Andy Reiter',32005,'M',1445731200,'M',170000)"
TP-21415,Tom Prescott,27-02-1969,M,1479168000,F,120000,"Insert into Customer values('TP-21415','Tom Prescott',25261,'M',1479168000,'F',120000)"
AM-10705,Anne McFarland,24-09-1982,S,1509926400,F,130000,"Insert into Customer values('AM-10705','Anne McFarland',30218,'S',1509926400,'F',130000)"
AB-255,Alejandro Ballentine,03-02-1953,M,1494374400,F,130000,"Insert into Customer values('AB-255','Alejandro Ballentine',19393,'M',1494374400,'F',130000)"
RP-19270,Rachel Payne,30-08-2003,S,1441929600,M,80000,"Insert into Customer values('RP-19270','Rachel Payne',37863,'S',1441929600,'M',80000)"
BK-11260,Berenike Kampe,18-08-1985,S,1473206400,F,60000,"Insert into Customer values('BK-11260','Berenike Kampe',31277,'S',1473206400,'F',60000)"
JM-15250,Janet Martin,14-11-1950,M,1447632000,M,70000,"Insert into Customer values('JM-15250','Janet Martin',18581,'M',1447632000,'M',70000)"
LW-16990,Lindsay Williams,08-02-1998,M,1512086400,F,70000,"Insert into Customer values('LW-16990','Lindsay Williams',35834,'M',1512086400,'F',70000)"
NZ-18565,Nick Zandusky,14-01-1969,M,1497312000,M,80000,"Insert into Customer values('NZ-18565','Nick Zandusky',25217,'M',1497312000,'M',80000)"
SV-10815,Stuart Van,05-11-1959,S,1565654400,F,80000,"Insert into Customer values('SV-10815','Stuart Van',21859,'S',1565654400,'F',80000)"
SC-20695,Steve Chapman,09-04-1957,S,1558483200,M,90000,"Insert into Customer values('SC-20695','Steve Chapman',20919,'S',1558483200,'M',90000)"
NC-18625,Noah Childs,30-10-1992,M,1494374400,M,90000,"Insert into Customer values('NC-18625','Noah Childs',33907,'M',1494374400,'M',90000)"
NF-18385,Natalie Fritzler,08-05-1985,M,1531699200,F,90000,"Insert into Customer values('NF-18385','Natalie Fritzler',31175,'M',1531699200,'F',90000)"
PM-18940,Paul MacIntyre,30-09-1959,M,1464912000,F,100000,"Insert into Customer values('PM-18940','Paul MacIntyre',21823,'M',1464912000,'F',100000)"
MZ-17335,Maria Zettner,30-04-1988,S,1565136000,M,70000,"Insert into Customer values('MZ-17335','Maria Zettner',32263,'S',1565136000,'M',70000)"
HM-4980,Henry MacAllister,11-01-1993,S,1438560000,M,70000,"Insert into Customer values('HM-4980','Henry MacAllister',33980,'S',1438560000,'M',70000)"
RW-19540,Rick Wilson,09-09-1998,M,1471996800,M,60000,"Insert into Customer values('RW-19540','Rick Wilson',36047,'M',1471996800,'M',60000)"
LH-17155,Logan Haushalter,15-10-1958,M,1522713600,M,60000,"Insert into Customer values('LH-17155','Logan Haushalter',21473,'M',1522713600,'M',60000)"
KM-16660,Khloe Miller,29-11-1981,S,1446336000,F,60000,"Insert into Customer values('KM-16660','Khloe Miller',29919,'S',1446336000,'F',60000)"
AB-10060,Adam Bellavance,09-04-1973,M,1426377600,M,60000,"Insert into Customer values('AB-10060','Adam Bellavance',26763,'M',1426377600,'M',60000)"
DB-13060,Dave Brooks,06-01-2001,S,1428969600,F,60000,"Insert into Customer values('DB-13060','Dave Brooks',36897,'S',1428969600,'F',60000)"
VM-21685,Valerie Mitchum,07-06-1987,S,1553817600,F,70000,"Insert into Customer values('VM-21685','Valerie Mitchum',31935,'S',1553817600,'F',70000)"
DM-13525,Don Miller,30-12-1953,S,1475280000,F,80000,"Insert into Customer values('DM-13525','Don Miller',19723,'S',1475280000,'F',80000)"
NM-18520,Neoma Murray,12-08-1966,S,1561334400,F,70000,"Insert into Customer values('NM-18520','Neoma Murray',24331,'S',1561334400,'F',70000)"
RO-19780,Rose O Brian,30-04-1985,M,1516492800,M,70000,"Insert into Customer values('RO-19780','Rose O Brian',31167,'M',1516492800,'M',70000)"
SB-20185,Sarah Brown,25-09-2002,S,1456444800,F,70000,"Insert into Customer values('SB-20185','Sarah Brown',37524,'S',1456444800,'F',70000)"
EM-14065,Erin Mull,09-10-1963,S,1520467200,M,70000,"Insert into Customer values('EM-14065','Erin Mull',23293,'S',1520467200,'M',70000)"
RS-19765,Roland Schwarz,05-12-1983,M,1474588800,F,90000,"Insert into Customer values('RS-19765','Roland Schwarz',30655,'M',1474588800,'F',90000)"
ON-18715,Odella Nelson,05-07-1958,S,1561075200,F,70000,"Insert into Customer values('ON-18715','Odella Nelson',21371,'S',1561075200,'F',70000)"
VS-21820,Vivek Sundaresam,05-11-1951,S,1448928000,M,70000,"Insert into Customer values('VS-21820','Vivek Sundaresam',18937,'S',1448928000,'M',70000)"
CM-12115,Chad McGuire,01-07-1950,M,1432512000,M,60000,"Insert into Customer values('CM-12115','Chad McGuire',18445,'M',1432512000,'M',60000)"
TB-21400,Tom Boeckenhauer,06-01-1963,M,1487289600,F,60000,"Insert into Customer values('TB-21400','Tom Boeckenhauer',23017,'M',1487289600,'F',60000)"
AB-10105,Adrian Barton,28-06-1952,M,1434758400,F,60000,"Insert into Customer values('AB-10105','Adrian Barton',19173,'M',1434758400,'F',60000)"
DW-13540,Don Weiss,26-02-1987,M,1539129600,M,70000,"Insert into Customer values('DW-13540','Don Weiss',31834,'M',1539129600,'M',70000)"
PS-19045,Penelope Sewall,28-08-1957,S,1495324800,F,70000,"Insert into Customer values('PS-19045','Penelope Sewall',21060,'S',1495324800,'F',70000)"
CC-12370,Christopher Conant,16-03-1995,M,1556496000,M,70000,"Insert into Customer values('CC-12370','Christopher Conant',34774,'M',1556496000,'M',70000)"
TC-21295,Toby Carlisle,04-10-1953,M,1561248000,M,70000,"Insert into Customer values('TC-21295','Toby Carlisle',19636,'M',1561248000,'M',70000)"
GM-14440,Gary McGarr,24-03-1970,M,1450483200,F,70000,"Insert into Customer values('GM-14440','Gary McGarr',25651,'M',1450483200,'F',70000)"
SV-20815,Stuart Van,25-10-1954,S,1442361600,M,80000,"Insert into Customer values('SV-20815','Stuart Van',20022,'S',1442361600,'M',80000)"
MM-17920,Michael Moore,07-04-1963,S,1426464000,M,30000,"Insert into Customer values('MM-17920','Michael Moore',23108,'S',1426464000,'M',30000)"
JK-16120,Julie Kriz,11-07-1953,S,1526342400,F,40000,"Insert into Customer values('JK-16120','Julie Kriz',19551,'S',1526342400,'F',40000)"
DJ-13510,Don Jones,26-10-1965,M,1478390400,M,70000,"Insert into Customer values('DJ-13510','Don Jones',24041,'M',1478390400,'M',70000)"
AT-10435,Alyssa Tate,29-03-1968,M,1559692800,M,70000,"Insert into Customer values('AT-10435','Alyssa Tate',24926,'M',1559692800,'M',70000)"
AB-10015,Aaron Bergman,09-11-1989,M,1432166400,M,70000,"Insert into Customer values('AB-10015','Aaron Bergman',32821,'M',1432166400,'M',70000)"
RP-19390,Resi Pölking,19-05-1952,S,1475193600,M,80000,"Insert into Customer values('RP-19390','Resi Pölking',19133,'S',1475193600,'M',80000)"
MJ-17740,Max Jones,22-05-1953,S,1443225600,F,70000,"Insert into Customer values('MJ-17740','Max Jones',19501,'S',1443225600,'F',70000)"
PV-18985,Paul Van Hugh,11-01-2002,M,1473811200,M,10000,"Insert into Customer values('PV-18985','Paul Van Hugh',37267,'M',1473811200,'M',10000)"
SB-20290,Sean Braxton,18-02-1997,M,1553731200,F,40000,"Insert into Customer values('SB-20290','Sean Braxton',35479,'M',1553731200,'F',40000)"
SM-10005,Sally Matthias,24-12-1977,M,1545868800,F,40000,"Insert into Customer values('SM-10005','Sally Matthias',28483,'M',1545868800,'F',40000)"
KH-16330,Katharine Harms,02-12-1989,S,1424217600,F,40000,"Insert into Customer values('KH-16330','Katharine Harms',32844,'S',1424217600,'F',40000)"
MP-18175,Mike Pelletier,20-10-1955,M,1504137600,F,30000,"Insert into Customer values('MP-18175','Mike Pelletier',20382,'M',1504137600,'F',30000)"
LH-17020,Lisa Hazard,28-11-1998,M,1489795200,F,30000,"Insert into Customer values('LH-17020','Lisa Hazard',36127,'M',1489795200,'F',30000)"
ND-18370,Natalie DeCherney,06-07-1965,S,1507766400,F,30000,"Insert into Customer values('ND-18370','Natalie DeCherney',23929,'S',1507766400,'F',30000)"
CR-12625,Corey Roper,18-11-1966,S,1498348800,F,30000,"Insert into Customer values('CR-12625','Corey Roper',24429,'S',1498348800,'F',30000)"
GM-14680,Greg Matthias,10-02-1965,S,1444348800,M,10000,"Insert into Customer values('GM-14680','Greg Matthias',23783,'S',1444348800,'M',10000)"
RA-19945,Ryan Akin,30-05-1978,S,1475971200,M,30000,"Insert into Customer values('RA-19945','Ryan Akin',28640,'S',1475971200,'M',30000)"
BW-11110,Bart Watters,03-03-2001,S,1538265600,F,40000,"Insert into Customer values('BW-11110','Bart Watters',36953,'S',1538265600,'F',40000)"
RF-19735,Roland Fjeld,13-03-1975,M,1448668800,F,40000,"Insert into Customer values('RF-19735','Roland Fjeld',27466,'M',1448668800,'F',40000)"
AG-10675,Anna Gayman,25-08-1998,M,1481155200,F,40000,"Insert into Customer values('AG-10675','Anna Gayman',36032,'M',1481155200,'F',40000)"
DM-12955,Dario Medina,31-08-1955,S,1468281600,F,30000,"Insert into Customer values('DM-12955','Dario Medina',20332,'S',1468281600,'F',30000)"
KD-16270,Karen Daniels,19-05-1984,S,1478995200,M,30000,"Insert into Customer values('KD-16270','Karen Daniels',30821,'S',1478995200,'M',30000)"
BE-11335,Bill Eplett,16-10-2005,M,1502755200,F,40000,"Insert into Customer values('BE-11335','Bill Eplett',38641,'M',1502755200,'F',40000)"
SO-20335,Sean O Donnell,17-06-1976,S,1523059200,M,40000,"Insert into Customer values('SO-20335','Sean O Donnell',27928,'S',1523059200,'M',40000)"
DK-12835,Damala Kotsonis,23-09-1967,M,1560988800,M,40000,"Insert into Customer values('DK-12835','Damala Kotsonis',24738,'M',1560988800,'M',40000)"
LC-7050,Liz Carlisle,30-06-1973,S,1520726400,M,40000,"Insert into Customer values('LC-7050','Liz Carlisle',26845,'S',1520726400,'M',40000)"
CG-12520,Claire Gute,18-05-1987,S,1473379200,F,40000,"Insert into Customer values('CG-12520','Claire Gute',31915,'S',1473379200,'F',40000)"
TB-21280,Toby Braunhardt,09-05-1951,S,1452384000,F,40000,"Insert into Customer values('TB-21280','Toby Braunhardt',18757,'S',1452384000,'F',40000)"
HG-15025,Hunter Glantz,24-04-1978,M,1495497600,M,60000,"Insert into Customer values('HG-15025','Hunter Glantz',28604,'M',1495497600,'M',60000)"
AD-10180,Alan Dominguez,14-12-1950,M,1523059200,M,40000,"Insert into Customer values('AD-10180','Alan Dominguez',18611,'M',1523059200,'M',40000)"
BP-11155,Becky Pak,23-11-1981,M,1444521600,M,40000,"Insert into Customer values('BP-11155','Becky Pak',29913,'M',1444521600,'M',40000)"
AA-10480,Andrew Allen,22-10-1967,S,1432944000,M,40000,"Insert into Customer values('AA-10480','Andrew Allen',24767,'S',1432944000,'M',40000)"
RL-19615,Rob Lucas,19-09-1951,S,1422748800,F,60000,"Insert into Customer values('RL-19615','Rob Lucas',18890,'S',1422748800,'F',60000)"
CS-12505,Cindy Stewart,22-06-1982,S,1482278400,M,40000,"Insert into Customer values('CS-12505','Cindy Stewart',30124,'S',1482278400,'M',40000)"
SW-20245,Scot Wooten,05-05-1958,M,1480464000,F,40000,"Insert into Customer values('SW-20245','Scot Wooten',21310,'M',1480464000,'F',40000)"
TA-21385,Tom Ashbrook,04-01-1964,S,1458259200,F,40000,"Insert into Customer values('TA-21385','Tom Ashbrook',23380,'S',1458259200,'F',40000)"
YC-21895,Yoseph Carroll,24-01-1981,S,1427932800,M,40000,"Insert into Customer values('YC-21895','Yoseph Carroll',29610,'S',1427932800,'M',40000)"
JM-15580,Jill Matthias,21-06-1968,S,1548288000,F,40000,"Insert into Customer values('JM-15580','Jill Matthias',25010,'S',1548288000,'F',40000)"
MZ-7335,Maria Zettner,13-04-1963,M,1479427200,F,40000,"Insert into Customer values('MZ-7335','Maria Zettner',23114,'M',1479427200,'F',40000)"
JF-15295,Jason Fortune-,01-07-1966,S,1541376000,M,40000,"Insert into Customer values('JF-15295','Jason Fortune-',24289,'S',1541376000,'M',40000)"
JL-15835,John Lee,31-12-1982,S,1441238400,F,40000,"Insert into Customer values('JL-15835','John Lee',30316,'S',1441238400,'F',40000)"
DJ-3510,Don Jones,14-03-1999,S,1511654400,M,40000,"Insert into Customer values('DJ-3510','Don Jones',36233,'S',1511654400,'M',40000)"
MF-18250,Monica Federle,07-03-1973,S,1509580800,F,40000,"Insert into Customer values('MF-18250','Monica Federle',26730,'S',1509580800,'F',40000)"
JE-15610,Jim Epp,19-12-1950,S,1445731200,M,40000,"Insert into Customer values('JE-15610','Jim Epp',18616,'S',1445731200,'M',40000)"
CP-12340,Christine Phan,06-07-1999,M,1527379200,M,40000,"Insert into Customer values('CP-12340','Christine Phan',36347,'M',1527379200,'M',40000)"
EH-14125,Eugene Hildebrand,05-09-1958,S,1502582400,M,40000,"Insert into Customer values('EH-14125','Eugene Hildebrand',21433,'S',1502582400,'M',40000)"
NC-18340,Nat Carroll,30-09-1957,M,1469145600,F,60000,"Insert into Customer values('NC-18340','Nat Carroll',21093,'M',1469145600,'F',60000)"
JS-16030,Joy Smith,02-06-1996,S,1428105600,F,70000,"Insert into Customer values('JS-16030','Joy Smith',35218,'S',1428105600,'F',70000)"
AM-10360,Alice McCarthy,23-09-1954,S,1429315200,F,80000,"Insert into Customer values('AM-10360','Alice McCarthy',19990,'S',1429315200,'F',80000)"
JF-15190,Jamie Frazer,30-05-1992,S,1555891200,M,80000,"Insert into Customer values('JF-15190','Jamie Frazer',33754,'S',1555891200,'M',80000)"
JG-15160,James Galang,18-12-1966,M,1428278400,M,90000,"Insert into Customer values('JG-15160','James Galang',24459,'M',1428278400,'M',90000)"
DP-13390,Dennis Pardue,21-11-1997,M,1430524800,F,90000,"Insert into Customer values('DP-13390','Dennis Pardue',35755,'M',1430524800,'F',90000)"
AG-10330,Alex Grayson,14-08-1956,S,1431907200,M,100000,"Insert into Customer values('AG-10330','Alex Grayson',20681,'S',1431907200,'M',100000)"
GK-14620,Grace Kelly,01-06-1990,M,1422748800,F,100000,"Insert into Customer values('GK-14620','Grace Kelly',33025,'M',1422748800,'F',100000)"
NF-18475,Neil Französisch,06-10-1990,S,1422144000,F,110000,"Insert into Customer values('NF-18475','Neil Französisch',33152,'S',1422144000,'F',110000)"
DR-12940,Daniel Raglin,09-11-2004,M,1477094400,M,110000,"Insert into Customer values('DR-12940','Daniel Raglin',38300,'M',1477094400,'M',110000)"
NB-18655,Nona Balk,05-09-1963,S,1426809600,M,70000,"Insert into Customer values('NB-18655','Nona Balk',23259,'S',1426809600,'M',70000)"
NM-18445,Nathan Mautz,10-06-1987,M,1563580800,M,90000,"Insert into Customer values('NM-18445','Nathan Mautz',31938,'M',1563580800,'M',90000)"
NP-18670,Nora Paige,19-09-1951,M,1476662400,M,110000,"Insert into Customer values('NP-18670','Nora Paige',18890,'M',1476662400,'M',110000)"
SC-20380,Shahid Collister,31-05-1988,M,1432339200,M,100000,"Insert into Customer values('SC-20380','Shahid Collister',32294,'M',1432339200,'M',100000)"
PA-9060,Pete Armstrong,08-11-1951,M,1473033600,F,120000,"Insert into Customer values('PA-9060','Pete Armstrong',18940,'M',1473033600,'F',120000)"
RB-19570,Rob Beeghly,07-12-1971,M,1521676800,F,160000,"Insert into Customer values('RB-19570','Rob Beeghly',26274,'M',1521676800,'F',160000)"
